Hour,Charging_Power,Discharging_Power,State_of_Charge,Price
99,0.0,10.0,7.5304347826086975,1300.11
100,0.0,6.928000000000002,0.0,1189.11
101,0.0,0.0,0.0,827.11
102,0.0,0.0,0.0,267.50284
103,0.0,0.0,0.0,160.10977
104,0.0,0.0,0.0,139.40744
105,0.0,0.0,0.0,116.59203
106,0.0,0.0,0.0,109.36948
107,0.0,0.0,0.0,100.96255
108,9.999999999999998,0.0,9.2,99.81837
109,10.0,0.0,18.4,96.41278
110,1.3043478260869479,0.0,19.6,100.15296
111,0.0,0.0,19.6,115.80416
112,0.0,0.0,19.6,102.59208
113,9.999999999999996,0.0,28.8,89.52197
114,10.0,0.0,38.0,90.54484
115,0.0,0.0,38.0,107.2615
116,0.0,0.0,38.0,135.34142
117,0.0,4.959999999999999,32.608695652173914,150.01
118,0.0,10.0,21.73913043478261,166.24628
119,0.0,10.0,10.869565217391305,212.63
120,0.0,10.0,0.0,384.24872
121,9.999999999999998,0.0,9.2,543.07587
122,0.0,0.0,9.2,953.409
123,0.0,8.464000000000002,0.0,1000.1043
124,0.0,0.0,0.0,976.24774
125,0.0,0.0,0.0,705.8731
126,0.0,0.0,0.0,258.57532
127,0.0,0.0,0.0,159.5416
128,0.0,0.0,0.0,132.374
129,0.0,0.0,0.0,115.70662
130,0.0,0.0,0.0,103.58741
131,9.999999999999998,0.0,9.2,98.30976
132,10.0,0.0,18.4,93.28
133,10.0,0.0,27.6,93.3021
134,9.999999999999993,0.0,36.8,99.72398
135,0.0,0.0,36.8,105.69493
136,0.0,0.0,36.8,107.92744
137,1.3043478260869519,0.0,38.0,100.41358
138,0.0,0.0,38.0,100.66267
139,0.0,0.0,38.0,105.83969
140,0.0,0.0,38.0,137.01178
141,0.0,4.959999999999999,32.608695652173914,138.10333
142,0.0,10.0,21.73913043478261,157.8985
143,0.0,10.0,10.869565217391305,158.27638
144,0.0,10.0,0.0,190.57744
145,9.999999999999998,0.0,9.2,239.26573
146,0.0,8.464000000000002,0.0,343.09888
147,0.0,0.0,0.0,294.18307
148,0.0,0.0,0.0,207.85143
149,0.0,0.0,0.0,169.1556
150,0.0,0.0,0.0,154.02791
151,0.0,0.0,0.0,131.17339
152,0.0,0.0,0.0,118.56332
153,0.0,0.0,0.0,102.59467
154,0.0,0.0,0.0,92.86101
155,0.0,0.0,0.0,89.41198
156,0.0,0.0,0.0,87.77098
157,0.0,0.0,0.0,85.92693
158,0.0,0.0,0.0,86.80036
159,0.0,0.0,0.0,79.13836
160,9.999999999999998,0.0,9.2,73.5709
161,0.0,0.0,9.2,74.85319
162,3.629489603024573,0.0,12.539130434782608,74.2721
163,10.0,0.0,21.73913043478261,73.43
164,0.0,0.0,21.73913043478261,77.38
165,0.0,0.0,21.73913043478261,78.442
166,0.0,0.0,21.73913043478261,81.79037
167,0.0,10.0,10.869565217391305,91.14962
168,0.0,10.0,0.0,99.29486
